title,link,site,date,age
"Live in Flow: Nikola Tesla—Energy, Frequency & Vibration",https://www.bshko.com/post/live-in-flow-nikola-tesla-energy-frequency-vibration,bshko.com,2024-12-03,18 hours ago
Get started with Superpower,https://superpower.com/welcome?via=early-access,superpower.com,2024-11-18,2 weeks ago
Tremendous Rewards Card,https://reward.tremendous.com/prepaid-cards/n8yxyywo4--vsrvnacxsfrulfeqcowcr92szlofid3b,tremendous.com,2024-10-17,1 months ago
The Occult Technology of the Rollercoaster,https://simonindelicate.substack.com/p/the-occult-technology-of-the-rollercoaster,substack.com,2024-09-04,2 months ago
"Welcome To Noita, You Suck - YouTube",https://www.youtube.com/watch?v=DwNNNa7Tu7g,youtube.com,2024-08-19,3 months ago
NanoCarbon Black in UHPC – Effect on Conductivity and Mechanical Properties - YouTube,https://www.youtube.com/watch?v=5o6mBUiPe1M,youtube.com,2024-08-19,3 months ago
Carbon-Cement Supercapacitors: A Disruptive Technology for Renewable Energy Storage - YouTube,https://www.youtube.com/watch?v=muRNoRV-5sQ,youtube.com,2024-08-19,3 months ago
What are Small Modular Reactors (SMRs)? | IAEA,https://www.iaea.org/newscenter/news/what-are-small-modular-reactors-smrs,iaea.org,2024-08-19,3 months ago
Operation Plumbbob - Wikipedia,https://en.m.wikipedia.org/wiki/Operation_Plumbbob#Missing_steel_bore_cap,wikipedia.org,2024-08-19,3 months ago
Increasing Retention without Increasing Study Time,https://files.eric.ed.gov/fulltext/ED505647.pdf,ed.gov,2024-08-19,3 months ago
The Most Superior Form of Training and the Most Hard-Hitting 2 Sentences in All of Talent Development Research - Justin Skycak,https://www.justinmath.com/the-most-superior-form-of-training/,justinmath.com,2024-08-19,3 months ago
My Bookshelf | Eat Your Books,https://www.eatyourbooks.com/bookshelf/books,eatyourbooks.com,2024-06-27,5 months ago
"Formula 1 Racing, KVUEDT, Live TV | Spectrum TV",https://watch.spectrum.net/livetv?tmsid=33585,spectrum.net,2024-06-09,5 months ago
For my brothers and sisters in the failing business.pdf,https://www.dropbox.com/scl/fi/2ru51zgtu4z2ug7uylfuu/For-my-brothers-and-sisters-in-the-failing-business.pdf?rlkey=15vfgovgocw9jvfg2jx4bc56r&e=1&dl=0,dropbox.com,2024-05-29,6 months ago
Christianity Was Always for the Poor,https://jacobin.com/2024/03/christianity-poor-debt-jesus-moses-wealth,jacobin.com,2024-04-03,8 months ago
LiveView is best with Svelte,https://blog.sequin.io/liveview-is-best-with-svelte/,sequin.io,2024-04-03,8 months ago
Building engineering,https://werd.io/2024/building-engineering,werd.io,2024-04-03,8 months ago
Insider Gives Replace On Travis Kelce’s Potential Return Date,https://web.archive.org/web/20230906184620/https://www.msn.com/en-us/sports/nfl/insider-gives-replace-on-travis-kelce-s-potential-return-date/ar-AA1girgh,archive.org,2024-02-22,9 months ago
Tech Strikes Back — The New Atlantis,https://www.thenewatlantis.com/publications/tech-strikes-back,thenewatlantis.com,2024-02-13,9 months ago
As Much As You Ever Wanted To Know About 155m Artillery Shell Production and More,https://roblh.substack.com/p/as-much-as-you-ever-wanted-to-know,substack.com,2024-02-08,9 months ago
Middle-Earth Heroes by Thomas Ward,https://www.plough.com/en/topics/culture/film/middle-earth-heroes,plough.com,2024-01-22,10 months ago
Reading QR codes without a computer!,https://qr.blinry.org/,blinry.org,2024-01-22,10 months ago
GitHub - collabora/WhisperSpeech: An Open Source text-to-speech system built by inverting Whisper.,https://github.com/collabora/WhisperSpeech,github.com,2024-01-18,10 months ago
Losing my son,https://www.fortressofdoors.com/i-lost-my-son/,fortressofdoors.com,2024-01-18,10 months ago
50 years of silence - Eli Dourado,https://www.elidourado.com/p/50-years-supersonic-ban,elidourado.com,2024-01-12,10 months ago
Give Me 2 Dozen Old Drills And I'll Make The Sharpest Knife That Will Last 50 Years - YouTube,https://www.youtube.com/watch?v=Tppn5RsEK78,youtube.com,2024-01-12,10 months ago
